FID;Shape *;OBJECTID_1;dpa_provin;dpa_despro;cod_zona;dpa_canton;dpa_descan;cod_distri;des_distri;cod_circ;des_circ;cod_postal;Shape_Leng;Shape_Area;Poblacion
0;Poligono;1;20;GALAPAGOS;5;2002;ISABELA;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C02;"ISLA FERNANDINA ""NARBOROUGH""";200107;867.595.682.374;5523312960;170
1;Poligono;2;20;GALAPAGOS;5;2003;SANTA CRUZ;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C06;PUERTO AYORA;200102;10.096.899.955;186.790.478.269;11588
2;Poligono;3;20;GALAPAGOS;5;2002;ISABELA;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C01;PUERTO VILLAMIL;200103;9.918.359.599;351.264.421.801;2069
3;Poligono;4;20;GALAPAGOS;5;2001;SAN CRISTOBAL;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C04;EL PROGRESO;200104;174.364.268.805;562.320.856.141;658
4;Poligono;5;20;GALAPAGOS;5;2001;SAN CRISTOBAL;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C03;"ESPAâ€žOLA ""HOOD""-PUERTO BAQUERIZO MORENO";200101;18.419.678.253;281.147.320.166;6638
5;Poligono;6;20;GALAPAGOS;5;2003;SANTA CRUZ;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C07;ISLA PINZON;200106;243.839.208.684;671.998.313.253;513
6;Poligono;7;20;GALAPAGOS;5;2003;SANTA CRUZ;20D01;SAN CRISTOBAL-ISABELA-SANTA CRUZ;20D01C05;BELLAVISTA;200105;40.782.234.432;1183744346;2426
7;Poligono;8;9;GUAYAS;8;901;GUAYAQUIL;09D04;FEBRES CORDERO;09D04C06;GUAYAQUIL-SUBURBIO;90405;8.845.017.493;249.533.228.986;63813
8;Poligono;9;9;GUAYAS;8;901;GUAYAQUIL;09D04;FEBRES CORDERO;09D04C01;GUAYAQUIL- EL CISNE;90404;9.738.871.319;289.869.019.077;72701
9;Poligono;10;9;GUAYAS;8;901;GUAYAQUIL;09D04;FEBRES CORDERO;09D04C03;GUAYAQUIL-SALINAS;90402;6.210.393.172;204.872.568.868;50466
10;Poligono;11;9;GUAYAS;8;901;GUAYAQUIL;09D05;TARQUI 1-TENGUEL;09D05C02;GUAYAQUIL-SAUCES;90509;7.182.849.655;204.904.091.865;38662
11;Poligono;12;9;GUAYAS;8;901;GUAYAQUIL;09D05;TARQUI 1-TENGUEL;09D05C02;GUAYAQUIL-SAUCES;90503;6.488.121.157;167.552.009.025;35843
12;Poligono;13;9;GUAYAS;8;901;GUAYAQUIL;09D06;TARQUI-2;09D06C06;GUAYAQUIL-MAPASINGUE;90604;7.883.735.929;270.003.701.642;37178
13;Poligono;14;9;GUAYAS;8;901;GUAYAQUIL;09D05;TARQUI 1-TENGUEL;09D05C04;GUAYAQUIL-ALBORADA;90502;7.434.587.858;194.444.840.729;30214
14;Poligono;15;9;GUAYAS;8;901;GUAYAQUIL;09D05;TARQUI 1-TENGUEL;09D05C05;GUAYAQUIL-URDESA;90506;10.781.411.807;396.270.919.859;26623
15;Poligono;16;9;GUAYAS;8;901;GUAYAQUIL;09D05;TARQUI 1-TENGUEL;09D05C01;GUAYAQUIL-ATARAZANA;90504;14.604.030.788;861.168.331.088;30686
16;Poligono;17;9;GUAYAS;8;901;GUAYAQUIL;09D07;PASCUALES - 1;09D07C05;GUAYAQUIL-ORQUIDEAS;90706;16.460.137.855;13.129.830.182;44605
17;Poligono;18;9;GUAYAS;8;901;GUAYAQUIL;09D06;TARQUI-2;09D06C02;GUAYAQUIL-MARTHA ROLDOS;90602;8.551.726.825;290.058.797.047;6348
18;Poligono;19;9;GUAYAS;8;901;GUAYAQUIL;09D06;TARQUI-2;09D06C01;GUAYAQUIL-BELLAVISTA;90608;50.271.471.509;197.704.825.557;33765
19;Poligono;20;9;GUAYAS;8;901;GUAYAQUIL;09D05;TARQUI 1-TENGUEL;09D05C06;GUAYAQUIL- KENNEDY;90505;14.165.488.602;434.380.322.495;17731
20;Poligono;21;9;GUAYAS;8;901;GUAYAQUIL;09D09;TARQUI-3;09D09C02;GUAYAQUIL-PUERTO HONDO;90901;79.142.515.216;503.804.177.987;11795
21;Poligono;22;9;GUAYAS;8;901;GUAYAQUIL;09D09;TARQUI-3;09D09C01;GUAYAQUIL-LOS CEIBOS;90902;38.326.764.103;329.871.611.333;23128
22;Poligono;23;9;GUAYAS;8;901;GUAYAQUIL;09D07;PASCUALES - 1;09D07C07;GUAYAQUIL-SAN FRANCISCO;90707;30.686.267.353;311.954.663.428;30365
23;Poligono;24;9;GUAYAS;8;901;GUAYAQUIL;09D10;PROGRESO-EL MORRO-POSORJA-GUAYAQUIL AREA DE EXPANSION;09D10C02;POSORJA;91001;50.229.160.706;754.244.392.146;24138
24;Poligono;25;9;GUAYAS;8;901;GUAYAQUIL;09D10;PROGRESO-EL MORRO-POSORJA-GUAYAQUIL AREA DE EXPANSION;09D10C01;MORRO;91002;123.026.951.144;264.851.094.875;5019
25;Poligono;26;9;GUAYAS;8;901;GUAYAQUIL;09D01;XIMENA 1 - PUNA-ESTUARIO DEL RIO GUAYAS;09D01C01;GUAYAQUIL-GUASMO;90105;13.542.856.856;431.826.840.166;43462
26;Poligono;27;9;GUAYAS;8;901;GUAYAQUIL;09D01;XIMENA 1 - PUNA-ESTUARIO DEL RIO GUAYAS;09D01C06;PUNA;90107;119.676.614.001;1599229611;11663
27;Poligono;28;9;GUAYAS;5;910;MILAGRO;09D17;MILAGRO;09D17C03;MILAGRO;91712;33.140.302.605;441.583.313.884;7151
28;Poligono;29;9;GUAYAS;5;906;DAULE;09D19;DAULE-NOBOL-SANTA LUCIA;09D19C02;DAULE;91911;36.666.504.391;25977841.95;24633
29;Poligono;30;9;GUAYAS;5;906;DAULE;09D19;DAULE-NOBOL-SANTA LUCIA;09D19C06;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);91910;58.738.603.829;118.451.677.619;8686
30;Poligono;31;9;GUAYAS;5;906;DAULE;09D19;DAULE-NOBOL-SANTA LUCIA;09D19C01;DAULE;91901;41.971.883.163;342.897.028.083;26406
31;Poligono;32;9;GUAYAS;5;922;SIMON BOLIVAR;09D11;ALFREDO BAQUERIZO MORENO-SIMON BOLIVAR;09D11C03;SIMON BOLIVAR;91101;57.949.860.693;128.192.938.336;14591
32;Poligono;33;9;GUAYAS;5;922;SIMON BOLIVAR;09D11;ALFREDO BAQUERIZO MORENO-SIMON BOLIVAR;09D11C04;CRNEL. LORENZO DE GARAICOA (PEDREGAL);91102;120.831.112.704;163.405.925.956;10889
33;Poligono;34;9;GUAYAS;5;911;NARANJAL;09D12;BALAO-NARANJAL;09D12C06;TAURA;91205;487.653.573.844;918.568.757.089;10775
34;Poligono;35;9;GUAYAS;8;901;GUAYAQUIL;09D03;GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA;09D03C05;GUAYAQUIL-VENEZUELA;90301;5.855.065.687;194.056.087.613;41018
35;Poligono;36;9;GUAYAS;8;901;GUAYAQUIL;09D08;PASCUALES - 2;09D08C05;GUAYAQUIL-MONTE SINAI;90807;15.051.187.297;920.856.959.288;17655
36;Poligono;37;9;GUAYAS;8;907;DURAN;09D24;DURAN;09D24C01;ELOY ALFARO (DURAN);92407;30.911.787.577;251.802.201.377;26272
37;Poligono;38;9;GUAYAS;5;914;PEDRO CARBO;09D14;PEDRO CARBO-LOMAS DE SARGENTILLO-ISIDRO AYORA;09D14C02;PEDRO CARBO;91401;13.773.970.995;326.977.392.097;15113
38;Poligono;39;9;GUAYAS;5;928;ISIDRO AYORA;09D14;PEDRO CARBO-LOMAS DE SARGENTILLO-ISIDRO AYORA;09D14C06;ISIDRO AYORA;91404;148.809.921.867;487.470.566.718;10869
39;Poligono;40;9;GUAYAS;5;924;LOMAS DE SARGENTILLO;09D14;PEDRO CARBO-LOMAS DE SARGENTILLO-ISIDRO AYORA;09D14C05;LOMAS DE SARGENTILLO;91405;54.634.811.486;668.490.806.358;18413
40;Poligono;41;9;GUAYAS;5;919;SALITRE;09D20;URBINA JADO;09D20C05;JUNQUILLAL;92002;65.375.554.055;976.408.603.484;13303
41;Poligono;42;9;GUAYAS;5;919;SALITRE;09D20;URBINA JADO;09D20C03;GRAL. VERNAZA (DOS ESTEROS);92003;5.014.923.592;831.220.811.683;9513
42;Poligono;43;9;GUAYAS;5;919;SALITRE;09D20;URBINA JADO;09D20C01;EL SALITRE (LAS RAMAS);92001;47.867.564.326;589.415.020.742;12418
43;Poligono;44;9;GUAYAS;5;920;SAN JACINTO DE YAGUACHI;09D21;SAN JACINTO DE YAGUACHI;09D21C02;SAN JACINTO DE YAGUACHI;92102;71.468.703.229;125.450.901.413;20321
44;Poligono;45;9;GUAYAS;5;920;SAN JACINTO DE YAGUACHI;09D21;SAN JACINTO DE YAGUACHI;09D21C01;SAN JACINTO DE YAGUACHI;92101;66.116.390.172;146955466.6;6453
45;Poligono;46;9;GUAYAS;5;920;SAN JACINTO DE YAGUACHI;09D21;SAN JACINTO DE YAGUACHI;09D21C05;YAGUACHI VIEJO (CONE);92103;67.085.166.221;108.694.447.918;11966
46;Poligono;47;9;GUAYAS;5;921;PLAYAS;09D22;PLAYAS;09D22C03;GENERAL VILLAMIL (PLAYAS);92203;57.652.284.749;111.334.371.756;4045
47;Poligono;48;9;GUAYAS;5;921;PLAYAS;09D22;PLAYAS;09D22C01;GENERAL VILLAMIL (PLAYAS);92201;68.900.143.483;123.236.827.446;17274
48;Poligono;49;9;GUAYAS;8;916;SAMBORONDON;09D23;SAMBORONDON;09D23C02;TARIFA;92303;54.582.636.284;135.925.794.513;15946
49;Poligono;50;9;GUAYAS;8;901;GUAYAQUIL;09D02;XIMENA 2;09D02C01;GUAYAQUIL- Esteros;90204;10.132.356.552;33.565.328.928;63230
50;Poligono;51;9;GUAYAS;8;901;GUAYAQUIL;09D02;XIMENA 2;09D02C01;GUAYAQUIL- Esteros;90205;14.111.473.155;283.082.816.088;15585
51;Poligono;52;9;GUAYAS;8;901;GUAYAQUIL;09D02;XIMENA 2;09D02C05;GUAYAQUIL- TRINITARIA 2;90206;17.998.736.224;650.909.976.405;46829
52;Poligono;53;9;GUAYAS;8;901;GUAYAQUIL;09D04;FEBRES CORDERO;09D04C05;GUAYAQUIL-BATALLON DEL SUBURBIO;90406;8.263.797.364;228.231.154.607;50580
